ITERATION,F1_SCORE_TRAIN,F1_SCORE_TEST,num_leaves,learning_rate,max_depth,min_child_samples,colsample_bytree,subsample,n_estimators,reg_alpha,reg_lambda,subsample_for_bin
117,0.9701662598291134,0.9266255061532338,37,0.040911337341723114,7,25,0.28770764365803236,0.43625695537658093,89,0.40244920537140233,0.7108645724762795,36
118,0.9978333290509036,0.9299773018808699,45,0.10346596767514654,6,28,0.3320887075401521,0.3115487199416501,78,0.4945697623879468,0.12932421850103207,31
119,0.9979999988425916,0.9319582994932032,30,0.07014481754912358,8,19,0.35313185068395175,0.37613673255718305,83,0.36082201341946335,0.3218779209460241,29
120,1.0,0.9292994809276809,30,0.1530710608333986,9,19,0.3902924496478915,0.39759680552004717,48,0.32364050634871766,0.32606818699634915,29
121,0.9993333328703701,0.9286375299665087,28,0.06755447763858584,7,14,0.3462486359852449,0.3488910608200371,100,0.4528907407649156,0.36332213545786585,24
122,1.0,0.9205958767856529,33,0.24241665809067478,10,17,0.4541757320025459,0.41166979418354505,52,0.2902852319148286,0.45001381438479204,27
123,1.0,0.9286432419593433,31,0.18658661221885797,6,12,0.4061942308584682,0.3690044923993153,83,0.34850090908028686,0.4941840686720623,25
124,1.0,0.925970877251131,27,0.12453053920089921,8,18,0.4159014321571846,0.33663295906961604,91,0.5584029638926322,0.4756780683129453,32
125,0.9896666037030041,0.9286380785839867,34,0.045701814085519946,9,15,0.36640629687616943,0.2608122635769079,79,0.4923447608787522,0.39256316723237594,33
126,0.9906665284693137,0.9266285957824308,29,0.05859281165520856,7,16,0.4459499677762691,0.3781234565486478,76,0.24194108455968946,0.28818166605965306,22
127,1.0,0.9219401382142264,25,0.6729260907463845,10,21,0.25537751334719216,0.5359889270434373,65,0.43852515805409903,0.6452881740709138,28
128,0.9596649822922736,0.9239444205220323,22,0.03867526109258265,6,22,0.35422137480052934,0.23391558384558325,73,0.5178499221667094,0.42726253224288174,26
129,1.0,0.9259763382391535,24,0.38459623527761194,8,19,0.32129346342743037,0.4817407176728851,81,0.37627907489258283,0.515451374181597,39
130,1.0,0.9246216028388996,32,0.29194535453760084,9,17,0.4246295190691144,0.2894368578871422,95,0.4032432935384693,0.2733634731274323,30
131,0.9718326253211258,0.9239748407119024,18,0.07683313551971503,7,12,0.4871381539472496,0.19153133476422898,41,0.5914357350380258,0.6023733846012495,40
132,0.9599963844580237,0.9233017187558561,35,0.02045368426220723,6,13,0.23145562026655012,0.4263179459444299,93,0.35970413144023305,0.3596397835135094,45
133,1.0,0.929961453887004,38,0.1945820835655055,8,7,0.31220344260021826,0.3893063945799977,68,0.45579280416486984,0.4085112836777172,35
134,1.0,0.9246096768389986,30,0.8152741910316481,9,11,0.517637376155875,0.6763785254541173,56,0.2909894632305362,0.17396724436402478,29
135,1.0,0.9206377665581714,26,0.6704126344166558,7,14,0.3769434191222049,0.35408520026271123,50,0.5468389505357114,0.5445802871749774,38
136,1.0,0.9273100284766024,20,0.08622110875433733,8,15,0.4735289584364113,0.2784876735082529,84,0.1406228535945426,0.32294849342085713,43
137,0.9468329936310835,0.9119108042388502,40,0.011222716373528297,10,23,0.34175015649022844,0.5586890680514783,60,0.5652129751363644,0.14436633043192537,34
138,0.9786663076263242,0.9232790034109035,21,0.03540060772452478,7,6,0.5926389716064943,0.5909613239800551,97,0.6254609598436489,0.3765533412618043,23
139,0.9703328805436225,0.9273065563812489,16,0.04885181512457054,9,18,0.5385137946626788,0.24866717870680052,72,0.8264563699403285,0.20569004123617474,32
140,1.0,0.9326480888055174,33,0.16446104063498648,8,20,0.5560561915491411,0.41237679119406434,69,0.1642426388151457,0.6364484196914659,37
141,1.0,0.9193117165920326,33,0.5013712653359653,6,20,0.562153943397066,0.3023572552161452,67,0.2709924423253057,0.7915511352057357,21
142,1.0,0.9266523501855186,39,0.32407653565631306,7,21,0.6053189384996548,0.4050978211233085,45,0.2472666252282058,0.5832350270445593,46
143,1.0,0.9259789033953142,36,0.4532801575237675,10,13,0.6473186443849612,0.3332698449052591,75,0.3301425037870712,0.6802975674854721,27
144,1.0,0.9232923070797584,34,0.2561459649180244,9,10,0.6928834096762672,0.22317344853042123,70,0.47583841763412105,0.8036967554599336,44
145,1.0,0.922627484712358,31,0.3988515735008507,8,17,0.666036246665337,0.31472017430752974,65,0.21491754441413624,0.9554538836302149,33
146,1.0,0.9259685237467312,28,0.16372739867055588,8,21,0.504120367876358,0.4573009153556699,80,0.16156416244105976,0.6309554203343156,37
147,1.0,0.9259834541413443,32,0.2138868531904195,8,16,0.5342551490372689,0.4172865525074957,89,0.09766059289373637,0.7303557245146332,36
148,1.0,0.9286326021999939,29,0.1126892998749638,7,19,0.6321537811766533,0.5154669348816148,82,0.17193513016080825,0.6583397009896524,41
149,1.0,0.9253078552569779,37,0.14822137790299753,8,22,0.4028128078406183,0.37313962691243485,77,0.07044792831075619,0.559199301595067,37
150,0.9986666655092564,0.9272947603872626,27,0.0686799739125358,8,20,0.4459391771902845,0.49553607820636064,85,0.03569509130635393,0.70878275220617,31
151,1.0,0.9272810926454852,24,0.1396584927665991,9,19,0.5919004196993856,0.4745686695937737,87,0.41562313084895064,0.8389662255156622,28
152,0.997833329745362,0.9239817852972496,25,0.10463071189665663,7,24,0.4334541598765244,0.365892681051724,62,0.12317665353169838,0.8844596468093173,35
153,1.0,0.9132782633215681,43,0.5872811442561066,9,18,0.5510195711068954,0.5755828153382722,69,0.13713084845526616,0.46874435976393614,40
154,1.0,0.9293073587416221,35,0.0953735139368513,7,14,0.726024025445848,0.43031675236793954,91,0.18004827599394138,0.4398465905905891,30
155,1.0,0.9286110689579695,31,0.2826540270309105,8,25,0.5703840905582708,0.3869825799880324,74,0.011335401148616822,0.5948675204737196,39
156,1.0,0.930642249165557,36,0.35048468172368885,6,23,0.39151142560871155,0.5439437570412379,79,0.2043332854291678,0.4851875236319356,34
157,1.0,0.9286288827007759,39,0.18004834817584178,8,16,0.4613993106599766,0.39660400164236514,94,0.22666880256419486,0.5180724760116455,42
158,0.9971666468747914,0.9293154881861199,38,0.07243228069380904,7,23,0.2777127303953627,0.4516817556941135,84,0.05900131572097235,0.259732381750791,26
159,1.0,0.9293001193127826,34,0.11994281464497149,9,20,0.4864764622375057,0.4859183388058436,89,0.30627405932716273,0.6921486457653203,29
160,1.0,0.9293033497014438,28,0.13362542555478174,7,17,0.3018488850432495,0.34265224572665176,77,0.1034668385050139,0.7528307728803113,33
161,1.0,0.9333103572967824,23,0.21121333917872548,8,22,0.3532572113696662,0.41373606918660755,81,0.26785636031509574,0.30053608938347176,36
162,1.0,0.9193000204894723,23,0.30636315828467137,10,21,0.3305259860081021,0.32924887256520424,59,0.2865187426773477,0.33943943609130883,32
163,1.0,0.9239741285173444,26,0.216296642161575,9,22,0.35842363744861133,0.2964196128893406,71,0.3615128025528042,0.293511503786249,25
164,1.0,0.9252847021758308,29,0.27190560626566573,8,19,0.4116096852326433,0.4112410917065943,54,0.3365553411294106,0.4125155987862023,38
165,1.0,0.9212880043334403,32,0.2397720457809968,6,18,0.2881042174934416,0.4674702292602131,67,0.42623677885951333,0.45723713818484296,43
166,1.0,0.9266464799374067,30,0.4218730351927647,10,22,0.3793054257737075,0.32251199231695515,82,0.39011797929962944,0.38201543381317504,48
167,1.0,0.9219701620821323,22,0.20321929159446384,7,15,0.4201601349528978,0.4400583677157078,62,0.2690078871231474,0.23058300989784974,35
168,1.0,0.9233116725197451,42,0.17357504478547117,8,20,0.6192379205908098,0.37560975442854244,75,0.3037530132581706,0.32465468921104873,30
169,1.0,0.9239497006069763,27,0.5666946485164753,9,24,0.46833909533900364,0.3494950728907587,72,0.674628698851432,0.5073237296157825,41
170,0.9998333332175925,0.9326495725787437,33,0.16180313397583973,5,21,0.4360408096138069,0.35916838358467373,64,0.23392077030909633,0.30751750650942,34
171,1.0,0.927290759205065,33,0.3486532603513832,5,20,0.5251623013937171,0.25267005283216526,56,0.22865632760279575,0.3574053507212298,39
172,1.0,0.9279752453816272,24,0.16034657440066946,5,22,0.49861395029180233,0.2801379691940926,65,0.20182602189447996,0.42429524694731674,37
173,1.0,0.9233017934083756,40,0.7196980998710095,4,21,0.5515785140351958,0.20301799905455492,35,0.24846704086002847,0.27053612345851413,45
174,1.0,0.9286222711787208,37,0.5166777645865887,5,26,0.4322638168746794,0.4226638047613857,53,0.15595820039509348,0.532738251711157,47
175,1.0,0.9039456364016741,35,0.9290625495996623,5,17,0.576583173781146,0.3102802698876789,57,0.1806866695028149,0.25104035460558444,40
176,1.0,0.9273136711666498,26,0.4680044134659289,5,24,0.47747053575038373,0.26313268364557885,60,0.1157564282134467,0.39419785171690386,34
177,0.9998333332175925,0.9246305665234118,25,0.28110227438142243,4,8,0.4536449561671791,0.360750678227657,48,0.26506443656439577,0.6389149295220966,33
178,1.0,0.9279621185732166,19,0.19514700102884722,6,23,0.396889830880231,0.16980753635666507,64,0.0012056196465301539,0.5791528147337177,31
179,1.0,0.9273233676829753,41,0.3750655543700188,6,27,0.5132758619158578,0.4035956824890513,43,0.4819776415606892,0.6151540770648436,36
180,1.0,0.9266347465098754,34,0.12366630536111896,6,11,0.6363595765101566,0.23905848987956457,68,0.3215151309547491,0.2991328592858272,42
